"sex"	"weight"
"1"	"F"	49
"2"	"F"	56
"3"	"F"	60
"4"	"F"	43
"5"	"F"	57
"6"	"F"	58
"7"	"F"	52
"8"	"F"	52
"9"	"F"	52
"10"	"F"	51
"11"	"F"	53
"12"	"F"	50
"13"	"F"	51
"14"	"F"	55
"15"	"F"	60
"16"	"F"	54
"17"	"F"	52
"18"	"F"	50
"19"	"F"	51
"20"	"F"	67
"21"	"F"	56
"22"	"F"	53
"23"	"F"	53
"24"	"F"	57
"25"	"F"	52
"26"	"F"	48
"27"	"F"	58
"28"	"F"	50
"29"	"F"	55
"30"	"F"	50
"31"	"F"	61
"32"	"F"	53
"33"	"F"	51
"34"	"F"	52
"35"	"F"	47
"36"	"F"	49
"37"	"F"	44
"38"	"F"	48
"39"	"F"	54
"40"	"F"	53
"41"	"F"	62
"42"	"F"	50
"43"	"F"	51
"44"	"F"	54
"45"	"F"	50
"46"	"F"	50
"47"	"F"	49
"48"	"F"	49
"49"	"F"	52
"50"	"F"	53
"51"	"F"	46
"52"	"F"	52
"53"	"F"	49
"54"	"F"	50
"55"	"F"	54
"56"	"F"	58
"57"	"F"	63
"58"	"F"	51
"59"	"F"	63
"60"	"F"	49
"61"	"F"	58
"62"	"F"	68
"63"	"F"	55
"64"	"F"	52
"65"	"F"	55
"66"	"F"	64
"67"	"F"	49
"68"	"F"	62
"69"	"F"	62
"70"	"F"	57
"71"	"F"	55
"72"	"F"	53
"73"	"F"	53
"74"	"F"	58
"75"	"F"	65
"76"	"F"	54
"77"	"F"	48
"78"	"F"	51
"79"	"F"	56
"80"	"F"	53
"81"	"F"	54
"82"	"F"	54
"83"	"F"	48
"84"	"F"	54
"85"	"F"	59
"86"	"F"	58
"87"	"F"	58
"88"	"F"	53
"89"	"F"	54
"90"	"F"	49
"91"	"F"	55
"92"	"F"	56
"93"	"F"	64
"94"	"F"	60
"95"	"F"	53
"96"	"F"	57
"97"	"F"	49
"98"	"F"	59
"99"	"F"	60
"100"	"F"	66
"101"	"F"	57
"102"	"F"	53
"103"	"F"	55
"104"	"F"	52
"105"	"F"	51
"106"	"F"	56
"107"	"F"	51
"108"	"F"	56
"109"	"F"	57
"110"	"F"	55
"111"	"F"	54
"112"	"F"	52
"113"	"F"	49
"114"	"F"	59
"115"	"F"	55
"116"	"F"	59
"117"	"F"	49
"118"	"F"	56
"119"	"F"	58
"120"	"F"	55
"121"	"F"	54
"122"	"F"	51
"123"	"F"	65
"124"	"F"	59
"125"	"F"	64
"126"	"F"	55
"127"	"F"	52
"128"	"F"	47
"129"	"F"	52
"130"	"F"	56
"131"	"F"	60
"132"	"F"	56
"133"	"F"	49
"134"	"F"	58
"135"	"F"	47
"136"	"F"	53
